Género y especie;Tiempo;Ubicación;Zona;País actual;Hábitat;Capacidad craneal;Altura;Tamaño de los incisivos;Forma de la mandíbula;Toroide supraorbitario;Prognatismo;Posición del foramen magnum;Tamaño del canino;Forma de los caninos;Esmalte dental;Tecno;Tipo tecno;Bípedo;Brazos;Pies;Dieta;Dimorfismo sexual;Cadera;Frente vertical;Anatomía;Migrado;Esqueleto
Australopithecus Garhi;284.973.343;Africa;oriental;Ethiopia;mixed;36.651.396;11.298.719;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Floresiensis;0.81677602;Asia ;oriental;Indonesia;peninsular;24.940.793;9.490.718;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
hominino Orrorin tugenencin;63.745.141;Africa;oriental;Kenya;forest;858.148;12.753.023;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Erectus;143.278.413;Asia ;west;Indonesia;savannah;106.791.307;15.555.846;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Erectus;152.070.748;Asia ;west;Indonesia;savannah;103.542.837;15.268.528;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Bahrelghazali;393.370.049;Africa;central;Republic of Chad;mixed;2.346.939;1.227.334;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Rudolfensis;315.808.033;Africa;oriental;Kenya;savannah;56.706.534;13.099.955;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Ergaster;1.402.732;Africa;oriental;Kenya;savannah;92.491.206;16.658.638;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Erectus;115.083.179;Asia ;west;Indonesia;savannah;102.337.005;15.287.807;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Sapiens;0.04655932;Africa;oriental;Kenya;savannah;121.354.694;16.020.508;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Georgicus;195.395.179;Asia ;west;Georgia;savannah;60.792.918;1.406.208;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Anamensis;407.904.541;Africa;oriental;Kenya;forest-gallery;30.051.309;11.681.587;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
hominino Sahelanthropus tchadensis;687.755.445;Africa;central;Republic of Chad;mixed;6.654.155;9.759.587;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Habilis;265.794.322;Africa;oriental;Ethiopia;savannah;8.664.927;1.212.916;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Australopithecus Bahrelghazali;36.645.666;Africa;central;Republic of Chad;mixed;35.071.835;12.938.286;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Paranthropus Robustus;254.234.083;Africa;south;South Africa;jungle;52.032.791;11.124.274;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Robustus;218.415.224;Africa;south;South Africa;jungle;5.797.801;12.528.739;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Rodhesiensis;0.77653324;Africa;oriental;Ethiopia;savannah;9.509.014;15.303.939;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Heidelbergensis;10.893.628;Europa;central;Germany;cold forest;132.807.545;16.521.595;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Homo Heidelbergensis;0.32455877;Europa;central;Germany;cold forest;143.255.403;18.094.226;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Homo Naledi;0.74618334;Africa;south;South Africa;jungle;4.818.567;12.674.539;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Erectus;187.876.476;Asia ;west;Indonesia;savannah;11.572.369;15.768.598;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Floresiensis;0.16043407;Asia ;oriental;Indonesia;peninsular;27.803.827;9.833.667;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Rodhesiensis;0.9561709;Africa;oriental;Ethiopia;savannah;114.779.197;14.511.971;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Garhi;273.975.552;Africa;oriental;Ethiopia;mixed;49.380.804;11.940.555;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Australopithecus Afarensis;382.645.965;Africa;oriental;Kenya;mixed;25.519.969;12.168.085;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Antecesor;166.515.924;Europa;west;Spain;savannah;102.238.267;17.530.819;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Homo Ergaster;16.979.599;Africa;oriental;Kenya;savannah;78.004.915;15.967.092;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Sapiens;0.56787484;Africa;oriental;Kenya;savannah;119.305.411;16.127.972;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Australopithecus Sediba;253.439.654;Africa;south;South Africa;mixed;49.015.481;1.179.316;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Georgicus;181.282.901;Asia ;west;Georgia;savannah;76.060.928;14.445.929;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Anamensis;408.343.374;Africa;oriental;Kenya;forest-gallery;49.969.599;1.293.932;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
hominino Ardipithecus ramidus / kabadda;422.324.083;Africa;oriental;Ethiopia;mixed;23.329.662;10.500.441;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Floresiensis;0.49800806;Asia ;oriental;Indonesia;peninsular;34.884.915;9.688.503;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Paranthropus Robustus;19.751.946;Africa;south;South Africa;jungle;53.385.245;11.270.488;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Bahrelghazali;417.122.358;Africa;central;Republic of Chad;mixed;36.369.713;11.425.486;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Australopithecus Garhi;291.562.937;Africa;oriental;Ethiopia;mixed;45.333.371;12.459.688;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Georgicus;156.788.078;Asia ;west;Georgia;savannah;63.549.549;14.084.994;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Georgicus;246.284.731;Asia ;west;Georgia;savannah;58.946.706;15.513.608;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Africanus;337.445.049;Africa;south;South Africa;forest-gallery;54.414.553;10.647.597;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Naledi;0.18328531;Africa;south;South Africa;jungle;46.136.466;12.251.682;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Naledi;0.18488366;Africa;south;South Africa;jungle;32.303.158;12.749.591;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Antecesor;129.666.714;Europa;west;Spain;savannah;9.092.094;16.047.846;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Homo Erectus;179.983.662;Asia ;west;Indonesia;savannah;10.250.466;15.499.418;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Anamensis;435.770.505;Africa;oriental;Kenya;forest-gallery;3.951.528;11.487.036;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Homo Naledi;0.1572141;Africa;south;South Africa;jungle;30.723.222;1.201.323;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Garhi;262.185.869;Africa;oriental;Ethiopia;mixed;32.001.679;12.903.307;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Habilis;224.942.666;Africa;oriental;Ethiopia;savannah;69.831.186;12.959.215;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Rodhesiensis;0.35705042;Africa;oriental;Ethiopia;savannah;119.252.762;1.460.623;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Habilis;261.882.417;Africa;oriental;Ethiopia;savannah;8.529.977;12.886.089;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Paranthropus Boisei;272.869.235;Africa;oriental;Ethiopia;forest;50.153.093;1.156.089;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Rodhesiensis;0.53148353;Africa;oriental;Ethiopia;savannah;104.157.824;14.538.637;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Habilis;291.834.433;Africa;oriental;Ethiopia;savannah;75.764.078;13.796.124;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Heidelbergensis;0.77641447;Europa;central;Germany;cold forest;144.373.962;18.334.399;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Australopithecus Africanus;33.986.101;Africa;south;South Africa;forest-gallery;62.818.487;11.791.951;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Habilis;277.592.891;Africa;oriental;Ethiopia;savannah;80.421.437;12.405.416;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Sapiens;0.50954147;Africa;oriental;Kenya;savannah;112.156.558;17.719.258;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Habilis;279.053.237;Africa;oriental;Ethiopia;savannah;71.321.018;12.854.659;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Australopithecus Sediba;232.904.003;Africa;south;South Africa;mixed;47.450.453;10.370.604;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
hominino Sahelanthropus tchadensis;746.890.212;Africa;central;Republic of Chad;mixed;16.872.429;9.599.019;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Heidelbergensis;0.84233207;Europa;central;Germany;cold forest;132.126.671;17.439.543;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
hominino Sahelanthropus tchadensis;762.364.792;Africa;central;Republic of Chad;mixed;29.183.229;940.442;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Erectus;119.081.392;Asia ;west;Indonesia;savannah;106.915.637;16.741.337;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Ergaster;144.135.646;Africa;oriental;Kenya;savannah;88.533.417;16.344.271;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Africanus;387.465.019;Africa;south;South Africa;forest-gallery;44.750.455;11.320.199;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Homo Erectus;115.038.958;Asia ;west;Indonesia;savannah;102.445.454;16.021.043;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
hominino Ardipithecus ramidus / kabadda;437.867.148;Africa;oriental;Ethiopia;mixed;33.383.775;11.939.962;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
hominino Ardipithecus ramidus / kabadda;414.544.271;Africa;oriental;Ethiopia;mixed;15.249.922;11.821.944;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
hominino Orrorin tugenencin;633.764.248;Africa;oriental;Kenya;forest;4.415.031;12.990.588;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
